,addr,busiNm,powerType,stat,statNm
95,서울특별시 서대문구 연희로 353,환경부,급속(50kW),2,그랜드힐튼호텔
96,서울특별시 동작구 대방동 70-5 ,환경부,급속(50kW),2,현대남부서비스센터
97,서울특별시 도봉구 마들로 645 (방학동),환경부,급속(50kW),9,롯데 VIC마켓 도봉점
98,서울특별시 금천구 두산로 71 (독산동),환경부,급속(50kW),9,롯데 VIC마켓 금천점
99,서울특별시 금천구 두산로 71 (독산동),환경부,급속(50kW),2,롯데 VIC마켓 금천점
100,서울특별시 중구 소공로 51번지,환경부,급속(50kW),2,우리은행본점
101,서울특별시 중구 소공로 51번지,환경부,급속(50kW),2,우리은행본점
102,"서울특별시 강서구 양천로 251, 입구 우측",환경부,급속(50kW),2,마곡레포츠센터 
103,서울특별시 도봉구 창2동 582-22,환경부,급속(50kW),2,창2동 제4공영주차장
104,"서울특별시 도봉구 창3동 504-21, 좌측 안쪽",환경부,급속(50kW),2,창3동 제1공영주차장
105,"서울특별시 마포구 노고산동 33-1, B3 28",환경부,급속(50kW),2,창천공영주차장
106,"서울특별시 강북구 오현로 21길 84, 옥상 주차장",환경부,급속(50kW),2,번동햇살 공영주차장
107,서울특별시 관악구 난곡로 67,환경부,급속(50kW),2,난향동 주민센터
108,"서울특별시 금천구 독산로 36나길 21, B1 18",환경부,급속(50kW),2,시흥제4동공영주차장
109,"서울특별시 도봉구 쌍문3동 315-62, 지하 1층 안쪽",환경부,급속(50kW),2,쌍문3동 제2공영주차장
110,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",환경부,급속(50kW),2,스탠포드호텔코리아
111,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",환경부,급속(50kW),2,국회도서관
112,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",환경부,급속(100kW동시),2,국회도서관
113,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",환경부,급속(100kW동시),2,국회도서관
114,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",환경부,급속(50kW),3,국회의원회관
115,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",환경부,급속(100kW동시),2,국회의원회관
116,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",환경부,급속(100kW동시),2,국회의원회관
117,서울특별시 노원구   덕릉로 450,환경부,급속(50kW),9,노원에코센터
118,서울특별시 영등포구 양산로111,환경부,급속(50kW),2,영등포구청 환승공영주차장
119,서울특별시 중랑구 신내로 156,환경부,급속(50kW),2,서울의료원
120,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(50kW),2,롯데 빅마켓
121,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(50kW),2,롯데 빅마켓
122,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(100kW동시),9,롯데 빅마켓
123,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(100kW동시),9,롯데 빅마켓
124,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(100kW동시),2,롯데 빅마켓
125,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",환경부,급속(100kW동시),5,롯데 빅마켓
126,서울특별시 영등포구 여의대방로 53길 22,환경부,급속(100kW멀티),2,성애병원
127,서울특별시 강북구 삼양로 230-12,환경부,급속(100kW멀티),2,냉천길 공영주차장
128,서울특별시 강북구 도봉로 61길 46,환경부,급속(100kW멀티),2,미아동 공영주차장
129,서울특별시 강북구 도봉로 69길 29,환경부,급속(100kW멀티),2,수유마을시장 공영주차장
130,서울특별시 구로구 개봉동 134-8,환경부,급속(100kW멀티),3,개봉1동 주민센터 옆 공영주차장
131,서울특별시 구로구 벚꽃로 370 ,환경부,급속(100kW멀티),5,하늘공원주차장
132,서울특별시 도봉구 쌍문2동 710-4,환경부,급속(100kW멀티),2,쌍문2동 제3공영주차장
133,서울특별시 서초구 남부순환로 2584,환경부,급속(100kW멀티),5,서초구청
134,서울특별시 성북구 정릉동 829-1,환경부,급속(100kW멀티),2,북한산국립공원 정릉탐방지원센터
135,서울특별시 은평구 진관동 278,환경부,급속(100kW멀티),2,북한산국립공원주차장
136,서울특별시 종로구 창의문로 145,환경부,급속(100kW멀티),5,부암동 주민센터
137,서울특별시 강남구 남부순환로3104,환경부,급속(100kW멀티),2,SETEC
138,서울특별시 강남구 개포로 25길 32,환경부,급속(100kW멀티),2,논현로22길 공영주차장
139,서울특별시 강남구 개포동 13-2,환경부,급속(100kW멀티),3,대청역 공영주차장
140,서울특별시 강남구 압구정동 453,환경부,급속(100kW멀티),2,압구정로29길 공영노상주차장
141,서울특별시 강북구 삼양로107길 30,환경부,급속(100kW멀티),2,가오리 공영주차장
142,서울특별시 강서구 양천로61길 101,환경부,급속(100kW멀티),3,가양레포츠센터
143,서울특별시 강서구 화곡로65길62,환경부,급속(100kW멀티),2,강서구민올림픽체육센터
144,서울특별시 노원구 상계2동 373-13,환경부,급속(100kW멀티),2,상계2동 공영주차장
145,서울특별시 마포구 매봉산로 37,환경부,급속(100kW멀티),2,DMC 산학협력연구센터
146,서울특별시 송파구 성내천로299-7,환경부,급속(100kW멀티),2,마천동2공영주차장
147,서울특별시 송파구 오금로68길8,환경부,급속(100kW멀티),2,거여동공영주차장
148,서울특별시 송파구 성내천로33가길20,환경부,급속(100kW멀티),2,천마공영주차장
149,서울특별시 용산구 회나무로 55？ ,환경부,급속(100kW멀티),2,이태원2동공영주차장
150,서울특별시 은평구 은평로 111,환경부,급속(100kW멀티),2,이마트 은평점
151,서울특별시 양천구 화곡로4길 10,환경부,급속(100kW멀티),2,신월5동 주민센터
152,서울특별시 양천구 중앙로 32길 1,환경부,급속(100kW멀티),2,신정1동 주민센터
153,서울특별시 양천구 목동 중앙본로 120,환경부,급속(100kW멀티),2,목2동 주민센터
154,서울특별시 성동구 동일로 199,환경부,급속(100kW멀티),2,송정동 공영주차장
